	1	2	coeff
484	MA1106.1	HIF1A	0.364713470946
267	MA0666.1	MSX1	0.359152113308
284	MA0687.1	SPIC	0.3542472672
293	MA0696.1	ZIC1	0.353812569834
279	MA0680.1	PAX7	0.346621146486
510	MA1132.1	JUN::JUNB	0.344464149464
137	MA0153.1	HNF1B	0.336633969428
323	MA0731.1	BCL6B	0.333782364566
257	MA0656.1	JDP2(var.2)	0.333684585927
173	MA0475.2	FLI1	0.333529494589
111	MA0115.1	NR1H2::RXRA	0.330344666758
384	MA0794.1	PROX1	0.329620363579
297	MA0700.1	LHX2	0.312277441484
82	MA0091.1	TAL1::TCF3	0.308683656398
156	MA0259.1	ARNT::HIF1A	0.304150870818
109	MA0113.3	NR3C1	0.281715228483
213	MA0525.2	TP63	0.279224329751
43	MA0052.1	MEF2A	0.271690489013
357	MA0766.1	GATA5	0.270550547843
527	MA1149.1	RARA::RXRG	0.269349656408
21	MA0031.1	FOXD1	0.268464835954
182	MA0486.2	HSF1	0.262088427751
270	MA0669.1	NEUROG2	0.255121815874
371	MA0781.1	PAX9	0.250787515808
96	MA0104.4	MYCN	0.246749565094
110	MA0114.2	HNF4A	0.245610366836
336	MA0746.1	SP3	0.244975028113
187	MA0492.1	JUND(var.2)	0.24205894797
352	MA0761.1	ETV1	0.240294358972
79	MA0088.2	ZNF143	0.237580305788
212	MA0525.1	TP63	0.231371745956
195	MA0502.1	NFYB	0.228022765668
76	MA0083.2	SRF	0.217449881025
366	MA0776.1	MYBL1	0.208763412173
188	MA0495.1	MAFF	0.203325309351
271	MA0670.1	NFIA	0.195580961501
298	MA0701.1	LHX9	0.192065754673
310	MA0716.1	PRRX1	0.192065754673
311	MA0717.1	RAX2	0.192065754673
314	MA0721.1	UNCX	0.192065754673
235	MA0630.1	SHOX	0.192065754673
255	MA0654.1	ISX	0.192065754673
91	MA0100.3	MYB	0.181931330308
81	MA0090.2	TEAD1	0.174286868278
56	MA0065.1	PPARG::RXRA	0.171845504636
180	MA0484.1	HNF4G	0.166350197337
8	MA0017.1	NR2F1	0.158723907697
62	MA0072.1	RORA(var.2)	0.151977282637
63	MA0073.1	RREB1	0.15031879584
61	MA0071.1	RORA	0.149188237087
416	MA0827.1	OLIG3	0.145422891383
490	MA1112.1	NR4A1	0.143804767427
340	MA0750.1	ZBTB7A	0.12983771129
106	MA0112.2	ESR1	0.123916064911
362	MA0772.1	IRF7	0.122399419388
222	MA0597.1	THAP1	0.120749515571
427	MA0839.1	CREB3L1	0.118333447631
394	MA0804.1	TBX19	0.116951625856
442	MA0862.1	GMEB2	0.105205502459
129	MA0145.3	TFCP2	0.100772386942
148	MA0160.1	NR4A2	0.099904373746
409	MA0820.1	FIGLA	0.0981397493688
485	MA1107.1	KLF9	0.094987901796
403	MA0813.1	TFAP2B(var.3)	0.0836234358159
320	MA0727.1	NR3C2	0.0824944342512
535	MA1420.1	IRF5	0.0801617202046
143	MA0156.2	FEV	0.0766051527023
268	MA0667.1	MYF6	0.0716098434249
12	MA0018.3	CREB1	0.0697729538236
252	MA0651.1	HOXC11	0.0678278493352
231	MA0618.1	LBX1	0.0642959828403
55	MA0062.1	GABPA	0.0581205025129
456	MA0884.1	DUXA	0.0553881946428
128	MA0144.2	STAT3	0.055368522558
99	MA0105.3	NFKB1	0.055260869701
536	MA1421.1	TCF7L1	0.0482544442929
497	MA1119.1	SIX2	0.0417391993701
205	MA0513.1	SMAD2::SMAD3::SMAD4	0.0413749810376
517	MA1139.1	FOSL2::JUNB(var.2)	0.0323918432803
381	MA0791.1	POU4F3	0.0231555860773
301	MA0706.1	MEOX2	0.0157760528942
491	MA1113.1	PBX2	0.015004759512
54	MA0060.3	NFYA	0.0146392655337
101	MA0106.1	TP53	0.00929977055331
170	MA0473.2	ELF1	0.00281218981848
460	MA0889.1	GBX1	0.00253021555166
87	MA0098.1	ETS1	0.0
115	MA0130.1	ZNF354C	0.0
85	MA0095.1	YY1	0.0
29	MA0037.1	GATA3	0.0
26	MA0036.1	GATA2	0.0
149	MA0161.1	NFIC	0.0
46	MA0056.1	MZF1	0.0
157	MA0442.1	SOX10	0.0
71	MA0080.1	SPI1	0.0
273	MA0672.1	NKX2-3	-0.00140295513003
525	MA1147.1	NR4A2::RXRA	-0.00459351704678
162	MA0466.1	CEBPB	-0.00952410580376
528	MA1150.1	RORB	-0.0130392559798
473	MA0906.1	HOXC12	-0.0231097751676
364	MA0774.1	MEIS2	-0.0252686851431
455	MA0882.1	DLX6	-0.0380271802637
430	MA0843.1	TEF	-0.0382787986881
209	MA0523.1	TCF7L2	-0.0384626790481
95	MA0103.3	ZEB1	-0.0427411052178
358	MA0767.1	GCM2	-0.0477501303595
486	MA1108.1	MXI1	-0.0490715205476
179	MA0481.2	FOXP1	-0.0585670146037
379	MA0789.1	POU3F4	-0.0722038079162
392	MA0802.1	TBR1	-0.0765284234774
35	MA0043.1	HLF	-0.0771645294453
531	MA1154.1	ZNF282	-0.0823882813546
458	MA0887.1	EVX1	-0.0853150680998
264	MA0663.1	MLX	-0.0928905093328
161	MA0465.1	CDX2	-0.0935764417984
242	MA0640.1	ELF3	-0.0998352618914
367	MA0777.1	MYBL2	-0.101993955547
444	MA0864.1	E2F2	-0.103130707029
211	MA0524.2	TFAP2C	-0.103374605435
39	MA0048.2	NHLH1	-0.103510944653
464	MA0893.1	GSX2	-0.104511535556
4	MA0007.2	AR	-0.106701555918
466	MA0895.1	HMBOX1	-0.107180734967
365	MA0775.1	MEIS3	-0.107996789323
303	MA0708.1	MSX2	-0.110748847785
248	MA0647.1	GRHL1	-0.121472573796
524	MA1146.1	NR1A4::RXRA	-0.130810199634
299	MA0702.1	LMX1A	-0.138793447028
300	MA0703.1	LMX1B	-0.138793447028
261	MA0660.1	MEF2B	-0.142611430706
503	MA1125.1	ZNF384	-0.144015818737
17	MA0027.2	EN1	-0.146135678205
452	MA0875.1	BARX1	-0.166470911147
428	MA0841.1	NFE2	-0.166553763371
498	MA1120.1	SOX13	-0.174351127143
68	MA0079.1	SP1	-0.177949800275
529	MA1151.1	RORC	-0.186416748346
294	MA0697.1	ZIC3	-0.186864660055
72	MA0080.2	SPI1	-0.201900311607
325	MA0733.1	EGR4	-0.203971791783
145	MA0157.2	FOXO3	-0.204166121478
386	MA0796.1	TGIF1	-0.205150163456
487	MA1109.1	NEUROD1	-0.207476056058
41	MA0050.2	IRF1	-0.217696377826
308	MA0714.1	PITX3	-0.226933345678
469	MA0901.1	HOXB13	-0.228954819927
5	MA0009.2	T	-0.2302494531
77	MA0083.3	SRF	-0.230761041411
227	MA0600.2	RFX2	-0.231483059323
16	MA0025.1	NFIL3	-0.23686991234
493	MA1115.1	POU5F1	-0.247143061168
200	MA0508.2	PRDM1	-0.256181304099
315	MA0722.1	VAX1	-0.264913350321
483	MA1105.1	GRHL2	-0.270622606053
317	MA0724.1	VENTX	-0.271159389242
285	MA0688.1	TBX2	-0.272417498624
411	MA0822.1	HES7	-0.274045301708
233	MA0625.1	NFATC3	-0.280570542141
50	MA0058.3	MAX	-0.284025340801
322	MA0730.1	RARA(var.2)	-0.290974691565
337	MA0747.1	SP8	-0.309695957768
58	MA0068.2	PAX4	-0.316806146036
334	MA0744.1	SCRT2	-0.318291829742
377	MA0787.1	POU3F2	-0.320749342623
410	MA0821.1	HES5	-0.321017755719
370	MA0780.1	PAX3	-0.325013286519
441	MA0861.1	TP73	-0.328039257899
75	MA0083.1	SRF	-0.329538138469
126	MA0140.2	GATA1::TAL1	-0.33122294145
463	MA0892.1	GSX1	-0.335647245139
223	MA0598.1	EHF	-0.336995211784
254	MA0653.1	IRF9	-0.346710077872
7	MA0014.3	PAX5	-0.346772384127
408	MA0819.1	CLOCK	-0.35619075853
144	MA0157.1	FOXO3	-0.356351433328
414	MA0825.1	MNT	-0.358380763504
40	MA0050.1	IRF1	-0.359007825173
105	MA0112.1	ESR1	-0.362492150932
432	MA0845.1	FOXB1	-0.364146766006
59	MA0069.1	Pax6	-0.367800917776
526	MA1148.1	PPARA::RXRA	-0.368527229273
502	MA1124.1	ZNF24	-0.370289275491
193	MA0498.2	MEIS1	-0.379327011149
475	MA0908.1	HOXD11	-0.379952583433
160	MA0464.2	BHLHE40	-0.388048232441
316	MA0723.1	VAX2	-0.389372420551
181	MA0486.1	HSF1	-0.392142904127
344	MA0753.1	ZNF740	-0.399802082962
413	MA0824.1	ID4	-0.403862907459
90	MA0099.3	FOS::JUN	-0.415392817628
350	MA0759.1	ELK3	-0.426970253972
474	MA0907.1	HOXC13	-0.428154437696
459	MA0888.1	EVX2	-0.430422956558
375	MA0785.1	POU2F1	-0.433741121281
30	MA0037.2	GATA3	-0.437997449113
372	MA0782.1	PKNOX1	-0.443323565308
2	MA0003.2	TFAP2A	-0.444725433763
113	MA0122.2	NKX3-2	-0.449016748279
23	MA0032.2	FOXC1	-0.455727684148
207	MA0517.1	STAT1::STAT2	-0.459483979889
250	MA0649.1	HEY2	-0.459662178746
203	MA0511.1	RUNX2	-0.463830269584
57	MA0066.1	PPARG	-0.467575889008
103	MA0106.3	TP53	-0.472887935875
530	MA1152.1	SOX15	-0.480207584483
354	MA0763.1	ETV3	-0.485778754758
78	MA0084.1	SRY	-0.486750621278
380	MA0790.1	POU4F1	-0.493979057566
274	MA0673.1	NKX2-8	-0.495332618661
448	MA0868.1	SOX8	-0.503339826307
189	MA0495.2	MAFF	-0.506074786255
482	MA1104.1	GATA6	-0.514604980052
355	MA0764.1	ETV4	-0.515791140908
208	MA0522.2	TCF3	-0.516543014094
333	MA0743.1	SCRT1	-0.536356987634
306	MA0712.1	OTX2	-0.537465609693
445	MA0865.1	E2F8	-0.538120194958
328	MA0736.1	GLIS2	-0.547512858294
359	MA0768.1	LEF1	-0.560489878081
335	MA0745.1	SNAI2	-0.561546251412
349	MA0758.1	E2F7	-0.576651851273
108	MA0113.1	NR3C1	-0.577405280921
27	MA0036.2	GATA2	-0.584660784786
44	MA0052.2	MEF2A	-0.593487921875
295	MA0698.1	ZBTB18	-0.596142360723
247	MA0646.1	GCM1	-0.599739876056
236	MA0634.1	ALX3	-0.619429084041
514	MA1136.1	FOSB::JUNB(var.2)	-0.63404227824
